company,origin,platform_name,founding,funding,parent,market_type,signup_type,different_web,alexa_crank,alexa_cgeo1,alexa_cgeo2,alexa_prank,alexa_pgeo1,alexa_pgeo2,sw_ctraffic_m,sw_ctraffic_s,sw_ctraffic_bounce,sw_cgeo1,sw_cgeo2,sw_ptraffic_m,sw_ptraffic_s,sw_ctraffic_bounce,sw_pgeo1,sw_pgeo2,gender_f,gender_m,age_1824,age_2534,age_3544,age_4554,age_5564,age_65,self_size,deep_platform,deep_company,web,app,qualification,training,other_crowdsource,other_freelance,translation,trascription,dataentry,labels_2D,labels_3D,digitization,debug,moderation,recordings,surveys,websearch,producttag,photography
Q Analysts,USA,NA,2003,NA,NA,BPO,CLOSED,FALSE,4601,"IND,USA,PAK,BGD,GBR,QAT,EGY,NGA,SAU,AUS,CAN,TUR,BRA,LKA,ARE,ZAF,PHL,CHE,GRC,ARG,MYS,KWT,DZA,IRN,DOM,HKG","28.1,12.2,12.1,4.8,3.4,3.2,3,2.9,2.1,1.4,1.2,1.2,1.2,1,1,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.6,0.5,0.5,0.5",NA,NA,NA,5643000,299367,17.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Quantigo AI,CAN,NA,2018,NA,NA,BPO,BPO,NA,9765269,NA,NA,NA,NA,NA,233,NA,71.52,"USA,NZL,BGD,CAN,RUS","41.66,22.26,17.2,14.03,4.86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Supervisely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roamler B.V.,NLD,Roamler,2011,NA,NA,BPO,OPEN,FALSE,"1,377,710",NA,NA,NA,NA,NA,24447,20281,31.4,"NLD,GER,FRA,BEL,GBR,ITA,AUT,BRA,USA,SRB","37.98,13.86,8.59,8.31,6.12,3.08,2.5,2.24,1.68,1.61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Samasource,USA,SamaHub,2008,14800000,NA,BPO,CLOSED,FALSE,551795,NA,NA,470187,"KEN,USA,UGA","26.9,26.4,8.8",20786,2516,45.25,"KEN,MUS,USA","96.21,3.31,.48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Steamhunt (Hunt),KOR,Reviewhunt,2018,NA,NA,OPEN,OPEN,FALSE,62014,"VEN,KOR,BGD,IND,PHL","44.3,16.9,4.4,2.6,2.2",NA,NA,NA,138164,497889,32.04,"VEN,KOR,BRA,BGD,USA,VNM,NIC,CHI,PHL,PAN","28.05,18.95,9.25,6.53,6.06,4.84,2.42,2.34,2.16,.99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60000,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA
Streetbees.com,GBR,Streetbees,2014,NA,NA,BPO,OPEN,TRUE,461529,NA,NA,NA,NA,NA,16989,9328,39.28,"GBR,USA,IND,BRA,PHL,TUR,GER,GRC,COL,FRA","15.35,12.76,10.53,7.25,4.25,3.56,3.21,3.14,2.9,2.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50000,NA,NA,TRUE,TRUE,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
Streetspotr,GER,Streetspotr,2011,NA,NA,BPO,OPEN,FALSE,1883622,NA,NA,NA,NA,NA,4380,NA,75.71,"GER,SRB,IND,BRA,AUS","33,10,10,6,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500000,NA,NA,FALSE,TRUE,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SupaHands,MYS,SupaAgents,2014,400000,NA,BPO,CLOSED,FALSE,534863,PHL,27.4,NA,NA,NA,25268,5360,29.45,"PHL,IDN,MYS,IND,BRA,USA,BGD,NLD,MAR,KEN","67.47,15.72,9.22,1.96,1.45,1.28,0.46,0.31,0.31,0.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
SuperAnnotate,USA,Annotate.online,2018,3000000,NA,BPO,BPO,TRUE,679573,NA,NA,NA,NA,NA,6020,NA,55.67,"USA,GER,ARM,IND,FRA,MYS,RUS,POL,CHI,PHL","29.12,14.38,13.5,6.11,6.11,3.39,3.28,3.12,3.1,2.78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Supervisely,USA,NA,2017,NA,NA,BPO,BPO,NA,288575,"USA,RUS","27.1,23.6",NA,NA,NA,31686,12911,33.69,"USA,CHI,VNM,IND,KOR,BRA,BGD,THA,RUS,GER","26.92,11.34,8.19,7.56,5.5,4.76,2.99,2.54,2.24,2.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tamr,USA,NA,2012,69200000,NA,BPO,BPO,NA,826291,USA,79.9,NA,NA,NA,8911,5959,51.15,"USA,IND,GBR,FRA,GER,CAN,VNM,MEX,NLD,POL","44.04,11.12,10.7,3.35,2.94,2.91,2.7,2.44,2.29,1.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Testbirds,GER,Testbirds,2011,11100000,NA,BPO,CLOSED,FALSE,84088,"USA,IND,ISR,ARE,RUS,MAR","21.5,11.7,11.7,8.3,8,1.6",11621,"GER,AUS,CHE,SWE","72,9,1,1",187527,70370,42.02,"GER,RUS,HUN,IND,GBR,USA,UKR,ECU,SWE,FRA","27.74,10.16,9.77,5.29,5.09,4.5,2.58,2.57,2.41,2.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400000,NA,NA,TRUE,NA,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Topcoder,USA,Connect (Topcoder),2001,11300000,Appirio,BPO,CLOSED,FALSE,NA,NA,NA,NA,NA,NA,7192,3847,11.32,"IND,USA,FRA,BRA,GBR,IND,GER,VNM,BGD,PHL","47.43,8.99,3.37,3,2.95,2.67,2.42,2.4,.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500000,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Trifacta,USA,NA,2012,224300000,NA,BPO,BPO,NA,270163,"USA,IND","33.6,24.9",NA,NA,NA,48144,30384,68.09,"USA,IND,CAN,FRA,GBR,SVK,BRA,AUS,FIN,NLD","28.86,14.18,5.77,5.45,4.32,2.69,2.22,2.04,2,1.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Understand.ai,GER,NA,2016,2800000,dSPACE,BPO,BPO,NA,2374348,NA,NA,NA,NA,NA,3836,NA,34.26,"IND,GER,GBR,CHI,BEL,POL,USA,NLD,SWE,FRA","47.56,32.17,2.92,2.73,2.65,2.55,1.77,1.54,1.27,0.96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Websoft,USA,Guru,1997,NA,NA,OPEN,OPEN,FALSE,7037,"IND,USA,PAK,KOR,BGD,ZAD,EGY,CAN,NGA,SAU,LKA,KWT,PHL,SGP,MDG,MYS,AUS,TUR,MAR","33.4,17.5,13.9,4.4,3.1,1.4,1.4,1.1,1.1,1.1,1,0.9,0.9,0.9,0.7,0.7,0.6,0.6,0.5",NA,NA,NA,1396000,543576,36.74,"IND,USA,PAK,BGD,PHL,KEN,CAN,ESP,GBR,CHI","26.1,15.12,13.81,4.82,2.95,2.74,2.08,1.68,1.58,1.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800000,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Welocalize,USA,NA,1997,NA,NA,BPO,BPO,NA,103003,"AUS,IND,NGA,EGY","19.6,13.5,13,4.3",NA,NA,NA,279410,62845,28.6,"BRA,ESP,USA,CHI,CAN,ITA,GBR,IND,FIN,GER","15.28,11.92,9.78,9.7,5.88,5.49,5.32,4.81,3.14,2.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wer Denkt Was,GER,appjober,2011,NA,NA,BPO,OPEN,FALSE,NA,NA,NA,NA,NA,NA,5284,5483,51.33,"GER,AUT,GBR,ITA,BRA,CHE,LBN,FRA,BGR,CMR","69.48,10.81,4.16,3.06,2.95,2.25,2.08,2.05,1.46,.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000000,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE
WinMinute,FRA,WinMinute,2013,NA,NA,BPO,OPEN,FALSE,10053775,NA,NA,NA,NA,NA,NA,NA,NA,"FRA,KOR,RUS","93.61,5.03,1.35",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50000,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
WorkforceLogic,USA,VMS (Zerochaos),1999,NA,NA,BPO,BPO,FALSE,209835,USA,80.7,NA,NA,NA,125357,22933,31.19,"USA,IND,SWE,GBR,GER,BRA,CAN,PHL,POL,FIN","55.81,28.48,9.04,1.29,0.55,0.52,0.48,0.39,0.33,0.32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zakstan,FRA,White Page,2017,NA,NA,BPO,NA,FALSE,223093,BEN,83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Zeerk,USA,Zeerk,2010,NA,NA,OPEN,OPEN,FALSE,38643,"USA,BGD,PAK,MAR,EGY,NGA,IND,DZA,PHL,ARE,KEN,LKA,IDN,JOR","31.8,15.1,10.7,5.6,5.6,5.4,3.7,2.8,1.9,1.5,1.3,1.2,0.8,0.7",NA,NA,NA,47626,15108,36.26,"BGD,USA,PAK,IND,MEX,CZE,DZA,MAR,EGY,CAN","29.58,17.06,5.54,4.97,4.06,3.94,3.56,3.31,2.45,2.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Prodege,USA,ySense,2005,60000000,NA,OPEN,OPEN,TRUE,47256,"USA,IND,CAN,ISR,IND","71.8,4,2.4,.8,0.6",4441,"BRA,IND,MEX,AGO,VEN,SAU,EGY,ARG,RUS,USA,NGA,COL,PAK,TUR,IDN,DZA,CHE,BGD,TWN,IRN,MYS,URK,PER,ARE,CHL,ECU,ZAF,LKA","15.4,9.6,7.6,7.5,5.1,4.8,4,3.7,3.6,3.4,2.9,2.2,2.2,1.8,1.4,1.4,1.3,1.2,1.1,1,0.9,0.9,0.9,0.7,0.6,0.6,0.5,0.5",107315,74867,69.71,"USA,GBR,CAN,IND,MEX,POL,PHL,GER,TUR,COL","45.23,4.35,4.07,2.82,2.73,2.1,1.7,1.63,1.61,1.54",3893000,770344,34.64,"BRA,POL,IND,MEX,RUS,CHI,IDN,ESP,USA,PHL","11.19,8.44,7.27,6.93,4.85,3.9,3.72,3.34,3.28,3.14",35.06,64.94,30.35,33.92,16.66,9.5,6.07,3.51,NA,Appen,Appen,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,NA,TRUE,TRUE,TRUE,FALSE
Khivrin N.N.,RUS,2Captcha,NA,NA,MegaIndex,OPEN,OPEN,FALSE,NA,NA,NA,5990,"VEN,IND,BRA,BGD,PAK,IRN,KOR,EGY,USA,DZA,RUS,PHL,VNM,MEX,ARG,IDN,NGA,COL,CHL,DOM,PER,TUR,SRB,IRQ,UKR","19.8,13.7,6.6,4.9,4.3,3.7,3.3,3,2.7,2.6,2.1,2,1.9,1.5,1.4,1.3,1.2,1.2,1.2,1,1,0.8,0.7,0.6,0.6",NA,NA,NA,NA,NA,2277000,570532,42.54,"VEN,IND,BGD,USA,PHL,PAK,IDN,BRA,VNM,UKR","29.53,10.23,8.63,4.16,3.65,3.25,3.14,2.52,2.52,1.7",28.91,71.09,32.05,34.95,15.8,8.53,5.35,3.33,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NeoDev,PRT,Neobux,2008,NA,NA,OPEN,OPEN,FALSE,NA,NA,NA,868,"VEN,BRA,USA,RUS,IND,ARG,MEX,AGO,COL,EGY,PAK,PER,BGD,DZA,CUB,IRN,JAP,SAU,CHL,UKR,DOM,ECU,GRC,MMR,LBY,LKA,VNM,PHL,THA","24.2,7.3,6.7,6,5.8,5.1,5.1,3.5,3.1,1.9,1.7,1.6,1.5,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.1,0.9,0.8,0.7,0.6,0.6,0.5,0.5,0.5",NA,NA,NA,NA,NA,7945000,490207,15.52,"VEN,RUS,UKR,COL,ARG,IND,MEX,BRA,CZE,PER","18.5,7.32,7.27,6.77,4.85,3.47,3.38,3.3,3.04,2.72",31.92,68.08,28.79,33.93,16.87,10.08,6.55,3.79,NA,Appen,Appen,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,NA,TRUE,TRUE,TRUE,FALSE
Appen,AUS,Appen Connect,1998,NA,NA,BPO,CLOSED,TRUE,3200,"IND,USA,BRA,JPN,VEN,EGY,MEX,NGA,PHL,AUS,TUR,ZAF,SAU,DZA,HKG,CAN,GBR,PAK,IDN,COL,RUS,MAR,BGD,TWN,CMR,ARG,GCR,LKA","18.1,11.1,9.3,8.6,7.2,5.6,3,1.8,1.6,1.5,1.5,1.5,1.4,1.3,1.2,1,1,1,0.9,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.5",NA,NA,NA,80557,37799,21.35,"USA,BRA,IND,GBR,PHL,CHI,VEN,GER,PRT,HKG","22.38,16.7,8.32,4.33,3.89,3.5,2.61,2.58,2.56,2.39",2299000,480926,18.1,"USA,BRA,IND,GBR,ESP,FRA,PHL,GER,MEX,ITA","21.83,11.83,7.01,6.91,4.3,4.16,3.59,3.25,3.07,2.89",NA,NA,NA,NA,NA,NA,NA,NA,1000000,"Raterhub,TryRating","Google,Apple",TRUE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Zhubajie,CHI,Zhubajie,2006,431300000,NA,OPEN,OPEN,FALSE,NA,NA,NA,4114,"CHI,HKG","97.9,0.7",NA,NA,NA,NA,NA,898732,480461,,"CHI,USA,HKG,TWN,SGP,PHL,KOR,GBR,CAN,JAP","94.39,1.52,0.96,0.6,0.37,0.3,0.23,0.19,0.18,0.17",42.66,57.34,23.25,47.59,18.4,5.82,3.28,1.66,7000000,NA,NA,TRUE,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amazon Web Services,USA,Amazon Mechanical Turk,2005,NA,Amazon,OPEN,OPEN,TRUE,5000,"USA,IND,BRA,CAN,ALG,EGY,MAR,SAU,ISR,SAU,AUS,PAK,NGA,SGP","48.7,19.8,2.6,2.5,2.1,1.9,1.2,1.1,0.9,0.8,0.8,0.6",NA,NA,NA,272365,66333,27.03,"USA,IND,CAN,GBR,GER,NLD,KOR,SGP,BGR,BRA","74.75,2.78,2.49,2.47,1.34,1.15,0.99,0.89,0.87,0.86",5256000,454928,15.63,"USA,IND,BRA,GER,CAN,GBR,ITA,DZA,ESP,MAR","76.28,13.97,2.63,1.17,1.11,0.96,0.58,0.2,0.18,0.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Upwork,USA,Upwork,1998,168800000,NA,OPEN,OPEN,FALSE,NA,NA,NA,681,"USA,IND,PAK,CAN,BGD,AUS,PHL,JAP,NGA,EGY,SAU,MEX,QAT,SGP,ZAF,ISR,BRA,ARE,CHE,TUR","33.7,20.9,7.6,3.5,3.4,3,2.6,1.7,1.6,1.5,1.3,1.3,1,0.8,0.8,0.8,0.8,0.7,0.6,0.6",NA,NA,NA,NA,NA,28910000,403500,25.94,"USA,IND,PHL,PAK,BGD,GBR,CAN,UKR,AUS,GER","24.7,9.73,9.3,4.56,3.73,3.61,2.91,2.84,1.84,1.3",39.14,60.86,24.48,37.8,18.97,10.3,5.44,3.01,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scale.ai,USA,Remotasks,2016,12260000,NA,BPO,OPEN,TRUE,93235,"USA,IND,PHL,MAR","58.9,6.1,4,1",8115,"PHL,VEN,KEN,EGY,NGA,ZAF,IND,BRA,MEX,PER,UGA,DZA,ARE,IDN,MAR,COL,MYS,CMR,SRB,GHA,LKA,TUR","21.1,19.7,6.9,6.3,5.9,4.7,3.8,3.1,2.5,2.1,1.7,1.3,1.2,1.1,1.1,1.1,0.9,0.8,0.7,0.6,0.6,0.5",83773,48926,49.12,"USA,PHL,VEN,IND,CHI,HKG,GER,CAN,KEN,GER","22.38,15.85,6.44,4.9,4.27,3.04,2.66,2.39,2.24,1.86",2662000,383656,26.92,"PHL,VEN,KEN,COL,ZAF,IDN,BRA,USA,ARG,NGA","43.43,28.37,6.47,3.66,2.63,1.37,1.11,0.97,0.78,0.74",41.6,58.4,31.64,35.68,15.85,8.56,5.22,3.05,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,TRUE,TRUE,FALSE
Appen,AUS,Appen Tasks,1998,NA,NA,BPO,OPEN,TRUE,3200,"IND,USA,BRA,JPN,VEN,EGY,MEX,NGA,PHL,AUS,TUR,ZAF,SAU,DZA,HKG,CAN,GBR,PAK,IDN,COL,RUS,MAR,BGD,TWN,CMR,ARG,GCR,LKA","18.1,11.1,9.3,8.6,7.2,5.6,3,1.8,1.6,1.5,1.5,1.5,1.4,1.3,1.2,1,1,1,0.9,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.5",NA,NA,NA,80557,37799,21.35,"USA,BRA,IND,GBR,PHL,CHI,VEN,GER,PRT,HKG","22.38,16.7,8.32,4.33,3.89,3.5,2.61,2.58,2.56,2.39",1038000,237876,29.13,"USA,VEN,IND,BRA,MEX,GBR,ESP,PHL,GER,FRA","15.2,13.1,8.23,6.33,5.99,4.31,3.71,3.64,3.06,2.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Khivrin N.N.,RUS,rucaptcha,NA,NA,MegaIndex,OPEN,OPEN,FALSE,NA,NA,NA,39499,"RUS,VEN,UKR,EGY,BLR,PAK,IRN,KAZ,ARM","46.5,22.5,6.1,3,2.7,.8,1.6,1,.8",NA,NA,NA,NA,NA,732379,196429,46.47,"RUS,UKR,TKM,VEN,BLR,KAZ,USA,EST,MDA,UZB","45.42,18.91,9.51,3.74,3.69,2.02,1.97,0.99,0.95,0.88",31.15,68.85,28.36,38.31,15.23,9.13,5.86,3.1,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Applause,USA,uTest,2006,NA,Vista Equity Partners,BPO,CLOSED,TRUE,104270,"USA,IND","59.2,12.4",18067,"ESP,IND,USA,NGA,EGY,GRC,ZAF,PAN,ISR,VEN,SAU,ALB,RUS,TUN,CAN,ARE,TUR,KAZ","19.1,10.9,10.3,6.5,5.3,4.1,4,3.7,3.5,2.5,2.1,2,1.7,1.7,1.6,1.1,1.1,.8",83870,31616,41.03,"USA,ISR,IND,GRC,IRL,GER,POL,GBR,FRA,BRA","22.84,13.45,12.55,8.74,8.18,6.1,2.72,2.46,2.18,1.55",904232,185949,28.14,"USA,IND,GBR,CAN,ISR,RUS,BRA,UKR,POL,GRC","28.63,6.94,5.64,5.28,4.32,3.49,3.36,2.93,2.68,2.5",38.2,61.8,22.38,34.11,19.61,11.75,7.47,4.68,500000,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
Weblabcenter,USA,Microworkers,2009,NA,NA,OPEN,OPEN,FALSE,NA,NA,NA,10639,"SDN,VEN,USA,SAU,IND,EGY,BGD,QAT,DZA,ARG,ARE,DOM,PAK,MAR,CAN,ZAF,MEX,COL,KWT,TUR,TUN,IDN,NGA,IRQ,JOR,LKA","14.8,10.5,9.4,7.2,6.5,6.3,5,5,4.3,3,2.4,2,2,1.6,1.5,1.3,1.2,1.2,1.1,1.1,1,0.7,0.7,0.7,0.6,0.5",NA,NA,NA,NA,NA,720703,153094,15.61,"VEN,BGD,USA,IND,BRA,COL,PHL,LKA,PER,VNM","12.97,12.14,9.60,7.68,4.61,3.57,2.98,2.72,2.22,2.12",36.84,63.16,29.23,34.35,17.05,9.75,6.09,3.52,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Clickworker,GER,Clickworker,2005,10700000,NA,BPO,OPEN,TRUE,13334,"IND,USA,GER,BRA,MEX,RUS,ZAF,EGY,NGA,PHL,DZA,TUR,MAR,KEN,BGD,MYS,LKA,TUN,PAK,ARE,IDN,VNM","16.6,16.5,12.5,10.7,6.3,3,2.7,2.5,2.5,1.6,1.3,1,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.70.6",NA,NA,NA,158617,59757,68.1,"USA,GER,BRA,GBR,ESP,IND,CAN,ITA,PHL,FRA","20.27,16.92,9.51,6.79,6.27,5.04,3.82,3.41,3.18,2.94",624442,142884,30.47,"USA,GER,BRA,GBR,ESP,FRA,IND,PHL,ITA,ZAF","28.35,15.9,7.76,6.28,6.13,4.68,3.3,3.24,3.12,0.44",NA,NA,NA,NA,NA,NA,NA,NA,2000000,UHRS,Microsoft,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Google,USA,Raterhub,NA,NA,Alphabet,INTERNAL,CLOSED,TRUE,NA,NA,NA,16420,"JAP,USA,IND,EGY,BRA,RUS,CAN,ISR,IDN,MYS","27.5,23.9,18.5,9.6,4,4,3.7,2,1.7,0.7",NA,NA,NA,NA,NA,2945000,136352,27.11,"USA,BRA,IND,ESP,GBR,GER,FRA,MEX,RUS,JAP","44.32,9.45,8.66,6.65,6.64,5.95,4.76,2.32,1.88,1.23",42.75,57.25,20.57,28.36,18.33,13.64,11.2,7.89,NA,NA,NA,TRUE,FALSE,TRUE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castle Global (Hive),USA,Hive Work,2013,20200000,NA,BPO,OPEN,TRUE,349763,USA,84.8,10503,"VEN,ARG,SLV,IND,BRA,COL,PER,RUS,LKA,EGY","61.5,9.5,5.5,3.5,3.4,2.3,2.2,1.4,0.9,0.6",32112,10635,41.32,"IND,USA,GBR,CHI,CAN,FRA,ISR,SGP,VNM,KOR","56.67,25.34,2.63,2.55,1.88,1.31,0.67,0.67,0.66,0.55",1104000,115434,20.3,"VEN,PHL,IND,ECU,BRA,COL,MEX,PER,ARG,USA","69,5.78,3.75,2.99,2.64,2.36,2.29,2.21,1.18,0.79",40.31,59.69,30.45,34.33,16.21,9.5,6.02,3.48,1500000,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
