company,origin,platform_name,founding,funding,parent,market_type,signup_type,different_web,alexa_crank,alexa_cgeo1,alexa_cgeo2,alexa_prank,alexa_pgeo1,alexa_pgeo2,sw_ctraffic_m,sw_ctraffic_s,sw_ctraffic_bounce,sw_cgeo1,sw_cgeo2,sw_ptraffic_m,sw_ptraffic_s,sw_ctraffic_bounce,sw_pgeo1,sw_pgeo2,gender_f,gender_m,age_1824,age_2534,age_3544,age_4554,age_5564,age_65,self_size,deep_platform,deep_company,web,app,qualification,training,other_crowdsource,other_freelance,translation,trascription,dataentry,labels_2D,labels_3D,digitization,debug,moderation,recordings,surveys,websearch,producttag,photography
Click and Walk,FRA,Click and Walk,2012,NA,NA,BPO,OPEN,TRUE,8227354,NA,NA,NA,NA,NA,2800,1900,60.98,"FRA,GBR,SRB,BEL,COL,GER,NLD,MEX,USA,ZAF","38.59,15.56,9.58,7.64,4.77,4.3,4.23,3.2,2.73,1.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850000,NA,NA,FALSE,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Cloudfactory,GBR,NA,2011,78000000,NA,BPO,BPO,NA,148817,"USA,NPL,IND,KEN","62.2,10.6,5.54.7",NA,NA,NA,117922,27929,30.85,"NPL,KEN,USA,FRA,GBR","32,21,14,6,2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crowd Guru,GER,Crowdmodul,2008,NA,NA,BPO,BPO,FALSE,4486943,NA,NA,NA,NA,NA,5146,2633,40.79,"GER,MEX,RUS,AUS,ESP","56,13,4,2,1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50000,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE, NA,TRUE,FALSE,NA,TRUE,TRUE,NA
CrowdForce,USA,Payforce,2018,420000,NA,BPO,CLOSED,TRUE,755191,NA,NA,NA,NA,NA,1566,1193,69.94,"NGA,USA,ARE,FRA,GBR,BRA,IND,CAN,GER,RUS","22.26,21.99,18.61,5.66,4.53,4.5,3.54,3.49,2.35,2.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daivergent,USA,NA,2017,1300000,NA,BPO,BPO,NA,2335748,NA,NA,NA,NA,NA,5419,2433,46.28,"USA,PHL,HRV,IND","94,3,2,1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dataloop AI,ISR,NA,2017,5000000,NA,BPO,NA,NA,792704,NPL,6.2,NA,NA,NA,6803,2450,26.06,"NGA,USA,ISR,IND,MEX,MYS,GBR,CZE,CHE,GER","47.17,19.9,12.28,10.96,2.39,1.5,1.33,1.09,0.93,.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
DataPure,USA,NA,2015,NA,NA,BPO,NA,NA,NA,NA,NA,NA,NA,NA,370,206,64.78,"USA,SWE,NLD,FIN,TUR,SRB,IND,IDN","32.18,17.78,12.73,12.56,8.89,6.76,5.2,3.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA
Dataturks,IND,NA,2018,NA,Walmart Labs,BPO,BPO,NA,462577,NA,NA,NA,NA,NA,19585,11508,42.34,"IND,USA,CHI,FRA,CAN,KOR,ESP,GBR,VNM,NLD","25.93,18.07,5.71,4.45,2.97,2.58,2.57,2.55,2.38,2.34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DefinedCrowd,USA,Neevo,2015,63600000,NA,BPO,OPEN,FALSE,63747,"BRA,USA,IND,EGY,CAN,TUR","30.6,14.5,5.6,4.3,3.4,2.1",204137,"BRA,MAR","46.6,1.7",699402,139711,24.88,"FRA,USA,ITA,GBR,BRA,NLD,MEX,GER,ESP,CZE","13.32,11.85,10.3,9,8.56,7.93,7.47,6.1,2.99,2.46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA
Digital Divide Data,USA,NA,2001,NA,NA,BPO,BPO,NA,1599962,NA,NA,NA,NA,NA,3920,3333,48.49,"KEN,USA,IND,ZAF,FJI,POL,AUS,KHM,PHL,CAN","53.44,23.53,3.61,3.06,2.84,1.87,1.86,1.76,1.52,1.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
